E N Z
338309.19 7452204.0 -115
340413.56 7450753.0 -60
339474.75 7450822.0 -91
338609.38 7450890.5 -104
337592.13 7450955.0 -116
336982.63 7450142.0 -109
337996.66 7450136.5 -101
339038.56 7450125.5 -93
339984.53 7450096.5 -78
335695.59 7449135.5 -128
336623.5 7449134.5 -97
337673.97 7449152.0 -79
338403.16 7449147.0 -85
339117.53 7449111.0 -82
339487.94 7449476.5 -82
339826.56 7448663.5 -55
338489.13 7448615.0 -53
337481.5 7448505.5 -63
338395.25 7447982.0 -48
337856.28 7447523.5 -45
337433.88 7447599.5 -56
336648.47 7447647.5 -100
336154.56 7447666.5 -115
335061.44 7447725.5 -141
334124.41 7447750.0 -182
334982.97 7446424.5 -131
336410.84 7446426.0 -88
337011.91 7446444.5 -75
337136.47 7447160.0 -82
337856.94 7446925.5 -42
337625.41 7446592.0 -36
337777.88 7445892.0 -61
337042.69 7445869.0 -85
337562.03 7445406.0 -63
336882.13 7445310.0 -87
336144.13 7445417.5 -117
337544.22 7444547.5 -72
338339.0 7443306.0 -25
338619.0 7442788.0 -25
341389.5 7449739.0 0
341345.66 7449696.5 0
341309.97 7449723.5 0
341255.94 7449686.0 0
341224.56 7449660.0 0
341232.81 7449594.5 0
341250.97 7449548.5 0
341281.97 7449486.0 0
341339.09 7449463.0 0
341333.41 7449400.5 0
341305.91 7449367.0 0
341269.44 7449346.0 0
341222.75 7449331.5 0
341150.78 7449319.5 0
341110.69 7449279.5 0
341067.72 7449275.5 0
341018.41 7449273.0 0
340967.94 7449259.5 0
340943.03 7449220.0 0
340929.53 7449177.5 0
340899.69 7449127.0 0
340840.44 7449105.0 0
340798.5 7449124.0 0
340738.97 7449134.0 0
340686.97 7449146.5 0
340689.13 7449055.5 0
340660.53 7449005.5 0
340626.84 7448959.0 0
340590.63 7448910.0 0
340615.13 7448865.0 0
340672.34 7448833.5 0
340723.31 7448798.0 0
340713.63 7448753.0 0
340760.75 7448721.0 0
340818.0 7448688.0 0
340769.28 7448626.0 0
340696.06 7448611.5 0
